ResponseId,Y_vaccgot2,X_condR,M1_valancR1,M2_motYOU1R,W_pol_ideo,RP_sevR1,RP_likR1,hadcovi1,flushot1,race1R,genderR1,age,educ,income,kidsR,RP_sev1,RP_lik1,gender,kids,covrisk_get_wv1,covrisk_ill_wv1,covrisk_die_wv1,covid_worry_1_wv1,covid_worry_2_wv1,covid_worry_3_wv1,covid_worry_4_wv1
R_10MCn7u8RJM5TO9,Null,Null,Null,Null,6,12,1,0,0,0,1,23,5,6,0,15,3,2,0,1,1,1,4,5,3,3
R_10MLjDKZaL33tWE,0,4,5,4,5,11,5,0,0,1,1,20,3,7,0,14,7,2,0,2,3,2,4,5,3,2
R_10NuQmspWk8QZtH,1,1,4,3,4,15,16,0,3,0,1,65,5,5,0,18,18,2,0,6,6,6,5,5,4,4
R_10qFg5MZSRzzoMG,1,1,4,2,3,7,10,0,3,1,1,70,5,9,0,10,12,2,0,3,5,4,4,4,1,1
R_10qMA1zJdNQqShJ,0,1,1,1,4,1,1,0,0,0,1,36,2,6,3,4,3,2,3,1,1,1,1,1,1,1
R_10qpkPBvfrjIMKz,0,4,7,1,4,10,7,Null,2,0,1,24,5,4,0,13,9,2,0,3,3,3,4,5,2,2
R_10r3Gm59lsklP9U,Null,1,3,Null,1,7,7,0,2,0,0,20,2,1,0,10,9,1,0,1,5,3,1,4,1,4
R_10rwZvahIDksuiJ,Null,1,7,7,4,14,4,1,3,0,1,73,2,4,0,17,6,2,0,2,2,2,4,5,4,4
R_10SMyIbsr9I8eJe,0,3,6,5,5,11,10,Null,0,0,0,41,6,2,2,14,12,1,2,4,4,4,3,4,3,4
R_10T0Ei8iA41ZaJT,Null,1,5,4,2,13,11,Null,3,1,0,67,5,9,0,16,13,1,0,4,5,4,4,5,4,3
R_10UGK4mIEGnFuDH,Null,4,5,1,6,1,1,1,0,0,1,42,5,3,1,4,3,2,1,1,1,1,1,1,1,1
R_10UIN9jdxIvlwQQ,Null,2,4,4,5,12,10,0,2,1,1,68,6,9,0,15,12,2,0,4,4,4,4,4,3,4
R_10Vg9aHFea9HynN,1,4,4,4,2,15,10,Null,3,0,1,63,3,7,2,18,12,2,2,4,4,4,5,5,4,4
R_10xshKGSbcy0ac5,Null,1,4,Null,3,12,10,0,0,0,1,45,5,5,1,15,12,2,1,4,4,4,4,3,4,4
R_10YNkrzba2MEBZQ,0,2,5,3,6,9,6,1,0,0,1,18,3,5,1,12,8,2,1,4,2,2,4,4,2,2
R_10Z2csqZNhIGdSh,0,1,7,4,4,11,11,0,0,1,1,82,5,10,0,14,13,2,0,2,6,5,2,4,4,4
R_10ZaYF3DzUD898H,0,2,5,4,6,13,5,0,0,0,1,37,6,6,1,16,7,2,1,2,3,2,4,5,3,4
R_10ZbexGFa6jSTx4,0,2,6,5,6,16,11,0,0,0,0,38,5,8,0,19,13,1,0,4,5,4,5,5,5,4
R_117Ov8y6O4N2jy2,Null,2,4,5,3,9,16,Null,1,0,1,37,5,5,0,12,18,2,0,6,6,6,3,3,3,3
R_117VTGTgZdmDmz4,Null,3,7,7,4,17,12,0,1,0,0,58,2,6,0,20,14,1,0,6,4,4,5,5,5,5
R_11apHN6exdNXOce,0,3,5,1,4,1,2,0,0,0,1,37,5,7,2,4,4,2,2,1,2,1,1,1,1,1
R_11aWfNGJgVGFjTL,1,2,6,4,4,13,4,0,2,0,0,53,5,7,1,16,6,1,1,2,3,1,4,5,3,4
R_11bdCJmeoeZZNXC,0,3,5,1,4,15,8,0,0,0,1,25,2,4,2,18,10,2,2,4,4,2,5,5,4,4
R_11gYdJxCmdXfhon,0,3,1,1,2,1,1,0,0,1,0,40,2,6,0,4,3,1,0,1,1,1,1,1,1,1
R_11ipOZsJlCDLyvs,0,2,4,1,4,11,14,Null,0,0,1,44,2,2,1,14,16,2,1,3,6,7,4,5,3,2
R_11jx36rrQgBwJtV,Null,3,4,1,4,13,6,0,0,0,1,40,2,7,1,16,8,2,1,4,2,2,3,5,4,4
R_11Y2erCu1As9n8X,0,3,4,1,4,5,5,0,1,0,1,44,6,5,0,8,7,2,0,3,3,1,2,2,2,2
R_11YmUiVCiSJNxwJ,Null,1,7,7,6,13,6,0,2,0,0,45,6,7,1,16,8,1,1,2,3,3,4,4,4,4
R_11ZpD8ulkmI08jL,0,3,1,1,3,10,7,0,0,0,1,34,6,3,0,13,9,2,0,4,3,2,3,4,3,3
R_120kdgNKrJy2iMM,Null,4,4,1,4,16,8,Null,1,0,1,33,5,8,2,19,10,2,2,5,3,2,5,5,5,4
R_122Skl0WWXTM3xp,Null,2,4,5,2,15,9,1,0,0,0,62,4,7,0,18,11,1,0,3,4,4,5,5,4,4
R_124lHEzS2dcCHam,0,1,4,4,4,13,3,0,1,0,1,23,5,4,0,16,5,2,0,1,3,1,4,5,3,4
R_125f9vaYTgmH5Qu,Null,3,6,6,4,10,1,0,0,0,0,35,6,1,0,13,3,1,0,1,1,1,2,4,3,4
R_125SPiVovTvKJxc,1,4,6,6,4,13,16,0,3,0,1,71,4,9,0,16,18,2,0,6,6,6,5,5,3,3
R_126jRn04YkERrqL,Null,2,7,Null,2,6,8,1,2,0,0,32,2,1,4,9,10,1,4,3,4,3,2,3,2,2
R_129lKeHUqCueSvB,0,1,4,4,5,15,15,0,0,1,0,42,2,1,1,18,17,1,1,5,7,5,5,4,5,4
R_129LO2wKrOTFnGw,Null,3,4,3,5,12,5,0,0,0,0,56,6,10,0,15,7,1,0,2,3,2,4,4,4,3
R_12aHmJMObwE7d4A,0,3,3,2,4,10,9,0,1,0,1,35,5,9,1,13,11,2,1,3,4,4,3,5,3,2
R_12anYRDsAo6K4pc,Null,3,4,3,4,6,7,0,0,0,0,23,2,2,1,9,9,1,1,1,4,4,3,4,1,1
R_12DYtbdH1Uzmb88,0,3,4,1,4,17,11,0,0,0,1,42,6,8,0,20,13,2,0,5,4,4,5,5,5,5
R_12EWntBt8RDhqJW,Null,1,7,Null,4,13,9,0,3,1,0,65,6,8,0,16,11,1,0,4,4,3,4,4,4,4
R_12f2oGTrp9ujDXm,1,3,7,Null,3,4,3,0,3,1,0,78,5,7,0,7,5,1,0,2,2,1,1,2,1,3
R_12fpycL1T3FPIHQ,Null,3,3,3,2,10,4,1,0,0,0,31,5,8,2,13,6,1,2,2,2,2,2,4,4,3
R_12g4kCKP2b0OndN,1,1,4,Null,3,14,10,0,3,1,0,75,6,10,0,17,12,1,0,4,4,4,5,5,3,4
R_12Gg1oaX0vegIr5,1,4,4,1,3,5,8,0,3,0,0,69,5,5,0,8,10,1,0,3,4,3,2,4,1,1
R_12gmdTPWxWMetlh,0,3,5,7,5,9,15,0,1,0,0,31,3,4,0,12,17,1,0,6,5,6,3,4,2,3
R_12hd011frulCD9U,0,1,1,1,2,2,4,0,0,0,0,44,2,5,1,5,6,1,1,2,2,2,1,2,1,1
R_12imP9juPyM3wko,0,4,5,3,6,15,4,0,3,0,0,37,3,9,0,18,6,1,0,2,2,2,5,5,4,4
R_12KYOqcz43zFcmi,0,4,6,5,2,8,4,0,1,0,0,35,5,7,2,11,6,1,2,3,2,1,3,3,2,3
R_12Mctb22hodqKhJ,1,4,3,3,5,13,7,0,3,0,0,35,5,9,0,16,9,1,0,3,3,3,4,5,3,4
R_12mrxzKdhD1p2Ws,1,4,6,7,4,7,8,0,1,0,0,64,6,9,0,10,10,1,0,2,4,4,4,4,1,1
R_12PhBDb8KHfxeYF,1,4,7,1,6,17,1,0,1,0,1,38,1,1,0,20,3,2,0,1,1,1,5,5,5,5
R_12QFqNFveQoXNix,0,3,6,4,1,4,4,0,0,0,0,63,3,8,2,7,6,1,2,2,2,2,2,2,1,2
R_12QiaQ3zQiwNYhq,0,2,6,5,4,12,7,0,3,0,0,35,5,9,2,15,9,1,2,3,3,3,4,5,3,3
R_12Qm78lhKcfdz1a,Null,3,5,Null,2,12,15,1,1,0,0,35,6,6,0,15,17,1,0,5,6,6,4,4,3,4
R_12rjlPPrhVvrY8M,Null,3,6,6,4,14,12,0,1,0,1,74,6,3,0,17,14,2,0,3,6,5,4,4,4,5
R_12RqxwFlr1CVD6N,1,3,6,5,4,12,4,1,3,0,1,21,5,3,0,15,6,2,0,2,2,2,2,5,4,4
R_12sDoR3a9L3J7Yx,Null,2,7,Null,6,15,10,0,3,0,1,76,6,2,0,18,12,2,0,3,5,4,5,5,4,4
R_12sTGMFAGoA5E1E,1,3,7,3,1,17,10,0,0,0,1,42,3,3,2,20,12,2,2,5,5,2,5,5,5,5
R_12t2is40YkBWbFS,Null,3,4,2,2,11,5,0,1,0,0,54,2,4,0,14,7,1,0,3,3,1,2,4,3,5
R_12tB9LKt3IOe1oJ,0,4,5,7,7,11,1,0,1,0,1,35,5,6,2,14,3,2,2,1,1,1,3,3,4,4
R_12ti98Dtw0YKX5E,0,4,5,1,4,15,5,0,0,0,1,32,3,2,1,18,7,2,1,3,3,1,4,5,5,4
R_12tlCthtvfBsFOD,Null,2,4,1,4,12,9,1,0,0,1,46,2,1,2,15,11,2,2,2,5,4,4,5,1,5
R_12usuJISc2WGcIW,1,1,6,6,7,9,6,0,3,0,0,66,3,9,0,12,8,1,0,3,3,2,4,4,2,2
R_12x4vsFFmu7wAjr,0,2,6,4,4,2,4,0,3,0,0,75,6,9,0,5,6,1,0,2,2,2,1,1,2,1
R_12x7qme4G9pywRP,Null,3,5,4,4,13,11,0,0,0,1,51,2,2,0,16,13,2,0,4,5,4,5,5,3,3
R_12x8JPhSxaPaSUR,1,3,4,5,4,12,7,0,3,0,1,40,2,8,3,15,9,2,3,3,3,3,4,4,4,3
R_12xbVztR1Fr0qgv,0,3,5,5,5,12,6,0,1,0,0,25,5,4,0,15,8,1,0,3,3,2,4,5,3,3
R_12xmnjb5pd9ch2D,0,2,4,1,5,13,10,0,3,0,0,44,5,10,3,16,12,1,3,4,5,3,4,4,4,4
R_12xPaax2Dz128Gs,1,2,5,4,2,9,1,0,3,0,1,48,2,2,0,12,3,2,0,1,1,1,3,3,3,3
R_12ykFwDP81qdjr7,0,3,4,4,4,10,7,0,0,0,1,35,5,7,2,13,9,2,2,3,3,3,3,4,3,3
R_1AlSNKvN36aalq1,1,1,5,5,4,11,12,0,3,1,0,69,5,8,0,14,14,1,0,4,5,5,4,4,2,4
R_1BOQTPDVmgVvDzq,Null,2,4,4,4,11,10,0,1,0,1,25,4,3,2,14,12,2,2,4,4,4,4,4,3,3
R_1BQlQYaDnEBby4N,Null,4,6,5,2,4,6,0,1,0,0,21,2,2,3,7,8,1,3,2,3,3,1,4,1,1
R_1BRbGOKjJF8Ypei,0,4,4,1,1,1,4,0,0,0,1,66,2,2,2,4,6,2,2,2,2,2,1,1,1,1
R_1BRcAqowAI9jlcw,Null,2,5,2,4,4,6,0,1,0,0,21,3,9,0,7,8,1,0,4,2,2,1,4,1,1
R_1BVfzOycpiw3MoK,Null,2,1,Null,1,9,9,1,1,0,1,25,3,6,0,12,11,2,0,6,3,2,2,4,3,3
R_1BVjEsBOxvAEQHB,0,2,3,1,4,14,15,Null,0,0,1,34,3,4,1,17,17,2,1,6,6,5,5,5,4,3
R_1BVl230WTNMRcem,0,4,2,1,6,9,10,0,3,0,1,40,5,9,0,12,12,2,0,4,4,4,3,3,3,3
R_1BVPGver5SUuSfk,Null,3,7,7,3,13,8,0,1,0,1,67,4,10,0,16,10,2,0,2,4,4,4,5,2,5
R_1BWpZQq83jw74PF,0,4,4,4,4,8,8,0,0,0,0,46,4,8,2,11,10,1,2,4,4,2,2,3,3,3
R_1BWqj09XZAgeZq2,0,4,4,1,6,14,1,0,3,0,1,24,2,1,0,17,3,2,0,1,1,1,2,5,5,5
R_1BWYuRuTnx46VEF,Null,1,6,7,4,16,10,0,3,1,0,52,5,8,0,19,12,1,0,3,6,3,5,5,5,4
R_1BXCQTl8aO3LmYx,Null,4,4,4,4,10,6,0,1,0,0,22,5,8,0,13,8,1,0,2,4,2,3,4,3,3
R_1C17Kh1fauwN4tP,1,3,4,5,4,11,7,0,2,0,1,64,2,2,0,14,9,2,0,3,3,3,4,4,3,3
R_1C1Oh6S28crAht6,1,2,7,Null,3,13,15,0,3,1,0,82,3,9,0,16,17,1,0,4,7,6,5,5,3,3
R_1C6QQfjTBvP7JAJ,Null,3,1,Null,4,15,17,0,2,1,0,40,6,9,2,18,19,1,2,6,7,6,5,4,5,4
R_1C7mxG10JeobxNk,Null,1,3,Null,3,9,9,1,1,0,0,24,5,9,1,12,11,1,1,4,3,4,2,4,2,4
R_1C7nqNtkwCPSwej,Null,4,5,Null,2,6,12,1,1,0,0,23,2,4,0,9,14,1,0,4,6,4,2,3,2,2
R_1CByEtkvfDDX84a,1,2,6,5,6,9,7,0,3,0,1,60,3,1,0,12,9,2,0,7,1,1,3,3,3,3
R_1CBZSBlWCgIgrfi,0,2,4,4,4,13,8,Null,0,1,0,27,2,4,0,16,10,1,0,4,3,3,4,4,4,4
R_1CC4PdG2FRBd4XI,0,1,4,4,1,1,4,0,3,1,0,59,5,10,0,4,6,1,0,2,2,2,1,1,1,1
R_1CeUyT08Gzcd1DM,0,2,4,4,6,16,1,0,1,0,0,32,3,5,3,19,3,1,3,1,1,1,5,5,4,5
R_1CflZGQhq4SQyrL,Null,3,4,1,4,7,6,Null,0,0,0,57,5,9,1,10,8,1,1,4,2,2,2,3,2,3
R_1CIaufeyUnUidew,0,2,5,1,4,17,7,0,0,1,1,36,6,6,0,20,9,2,0,1,4,4,5,5,5,5
R_1CiKy3AnJ33e8Ol,1,1,4,4,3,4,4,0,0,1,0,50,5,9,0,7,6,1,0,2,2,2,1,4,1,1
R_1CiyeJDFOpnZhIt,0,3,1,1,4,1,2,0,0,0,Null,26,1,3,0,4,4,88,0,1,2,1,1,1,1,1
R_1CkB0Zrcdvmln94,1,3,6,5,4,10,4,0,0,0,0,30,5,9,0,13,6,1,0,2,2,2,4,4,3,2
R_1CkLn03KmiTiS5O,0,2,2,3,7,15,4,Null,0,0,1,46,5,6,2,18,6,3,2,2,2,2,5,5,4,4
R_1CmCKLAU1YjkqWR,Null,3,6,7,4,13,6,0,3,0,1,28,3,7,1,16,8,2,1,4,2,2,4,5,3,4
R_1CpG7mI2v6hahdd,1,3,4,4,4,8,4,0,3,0,0,71,4,3,0,11,6,1,0,2,2,2,1,3,3,4
R_1CpWcoVIGJckwTY,0,3,7,7,7,11,7,0,2,0,1,19,2,2,1,14,9,3,1,2,4,3,4,4,3,3
R_1CqFjwVVolxqWJU,1,4,6,6,2,15,15,0,3,1,0,70,5,9,0,18,17,1,0,5,6,6,5,5,4,4
R_1Cqpc94IVDFmiHs,Null,4,3,1,1,11,1,0,1,0,0,18,2,1,0,14,3,1,0,1,1,1,3,3,3,5
R_1CrJtq8DHkrPePj,0,2,5,4,1,14,4,1,2,0,1,51,3,7,3,17,6,2,3,2,2,2,4,5,4,4
R_1Crpe9RbMJQxdSG,Null,4,7,1,1,1,3,0,0,0,0,28,3,3,0,4,5,1,0,1,2,2,1,1,1,1
R_1CrpSqDrIJaWZ46,1,4,6,5,4,14,12,0,3,1,0,68,6,7,0,17,14,1,0,7,4,3,4,4,5,4
R_1cS35WS4iInWto9,Null,2,4,4,2,11,6,0,1,0,1,60,2,3,0,14,8,2,0,2,4,2,3,4,3,4
R_1cTVVtkdkuzBPYD,0,4,6,4,4,14,14,1,0,0,1,35,3,6,2,17,16,2,2,5,6,5,5,5,5,2
R_1cUIqyYzSjiy16j,0,1,6,6,6,10,5,0,1,0,0,28,3,4,0,13,7,1,0,3,2,2,4,5,1,3
R_1cUmErs7Aq8qxpV,1,1,4,3,2,11,6,0,3,1,1,65,6,9,0,14,8,2,0,3,3,2,3,4,3,4
R_1cUrJUg3E7CGpcC,1,4,6,4,2,6,9,0,3,0,1,71,6,4,0,9,11,2,0,3,5,3,2,2,2,3
R_1cV0Y12koAnerro,Null,3,1,1,4,5,4,0,1,0,0,24,2,3,1,8,6,1,1,3,2,1,2,4,1,1
R_1Cw4GSNSlLqBjXQ,1,2,4,4,5,9,10,0,3,0,1,73,2,3,0,12,12,2,0,4,4,4,3,3,3,3
R_1Cxw03Gn3fZTSbA,1,1,6,Null,4,10,9,0,3,1,0,57,3,9,0,13,11,1,0,5,4,2,4,5,2,2
R_1cYqnoGEd5NRQNT,Null,2,5,Null,4,15,4,0,1,0,1,34,3,5,3,18,6,2,3,2,2,2,4,5,4,5
R_1d0RZzUgVGyYjit,1,3,7,7,7,7,13,0,3,1,0,65,6,9,0,10,15,1,0,7,5,3,4,4,1,1
R_1d15gKlq1hAjKJI,Null,3,4,4,4,9,4,0,0,0,0,70,5,2,0,12,6,1,0,2,2,2,3,3,3,3
R_1d4a3wbCw0eDxar,1,3,5,4,6,11,8,0,3,0,1,28,3,6,0,14,10,2,0,2,4,4,4,4,3,3
R_1d4byIWLj32yBuF,Null,3,6,3,4,12,2,0,1,0,1,21,2,1,4,15,4,2,4,1,2,1,4,5,3,3
R_1d4sWHK8d8rmFTm,1,2,7,7,7,16,11,0,3,0,1,69,6,1,0,19,13,2,0,4,5,4,5,5,4,5
R_1d5Fukhy1Cq9Utu,Null,2,5,7,4,14,12,1,1,1,0,42,6,9,2,17,14,1,2,5,5,4,3,5,4,5
R_1d62nqlcuYYJ6qA,1,1,1,1,3,10,6,0,2,0,0,34,5,9,2,13,8,1,2,2,4,2,4,5,2,2
R_1d6lQtSiTfxsX5C,0,1,3,3,4,17,14,0,1,0,1,48,2,9,0,20,16,2,0,4,6,6,5,5,5,5
R_1d6TR5zW17ybinJ,Null,4,7,6,4,15,12,0,3,1,0,64,6,8,0,18,14,1,0,4,6,4,4,5,5,4
R_1dA0abkkmn57Ev2,Null,3,1,1,2,9,1,Null,0,0,0,43,4,4,1,12,3,1,1,1,1,1,1,1,5,5
R_1daFqqqOtCob2Fd,1,3,5,5,6,17,5,0,2,0,1,26,5,4,0,20,7,2,0,3,2,2,5,5,5,5
R_1daXbaHNvzYYLgK,1,1,4,Null,2,4,6,0,0,0,0,62,3,7,0,7,8,1,0,3,3,2,1,4,1,1
R_1DBV2TLYfZRVKnI,Null,4,4,1,4,4,4,0,0,0,1,62,1,1,0,7,6,2,0,2,2,2,1,2,1,3
R_1DCEISqNiZjprjH,0,3,6,5,5,14,4,0,1,0,0,22,4,3,2,17,6,1,2,2,2,2,4,5,4,4
R_1dcNBqYQPupjHjq,Null,4,6,5,2,4,6,Null,3,0,0,45,6,8,0,7,8,1,0,3,3,2,1,4,1,1
R_1dcRVmKTHyVoCBU,Null,4,7,6,4,16,16,1,2,0,1,41,3,2,1,19,18,2,1,6,6,6,5,5,4,5
R_1dcSaSvT1WyBhiD,Null,3,7,6,4,7,7,0,3,1,1,73,3,7,0,10,9,2,0,3,3,3,2,3,3,2
R_1DDdPPnDe1HpwGG,0,2,7,7,4,6,4,0,2,0,1,61,5,7,0,9,6,2,0,2,2,2,3,3,1,2
R_1ddiyIXtsMsgAvv,0,1,4,1,4,13,4,0,0,0,0,43,2,8,1,16,6,1,1,2,2,2,4,5,3,4
R_1dE26Ysl8MESB4F,1,3,7,7,4,17,11,0,3,0,0,66,4,9,0,20,13,1,0,4,5,4,5,5,5,5
R_1DFG2UU2R4fYLUQ,Null,3,1,7,1,14,1,0,0,0,1,21,2,3,0,17,3,2,0,1,1,1,3,5,4,5
R_1DFJ4RcfbNb8MYp,1,3,5,Null,2,9,13,1,1,1,1,28,5,6,1,12,15,2,1,4,5,6,2,3,3,4
R_1DFLKYg6QXNNwt1,0,1,1,4,3,8,9,Null,0,0,0,29,2,1,0,11,11,1,0,3,4,4,3,2,3,3
R_1DFS56jz8LFrUHS,Null,2,6,5,3,13,3,0,1,0,0,27,6,6,0,16,5,1,0,2,2,1,4,5,3,4
R_1dg0Fd456OpxKJU,Null,4,6,4,6,5,6,0,1,0,1,21,5,8,0,8,8,2,0,3,3,2,2,2,2,2
R_1dGPbeoNjwLZiVv,Null,2,7,7,3,14,10,1,1,0,0,23,4,7,2,17,12,1,2,4,5,3,4,3,5,5
R_1DHhjFOzrdRmVbz,1,3,4,1,1,1,1,0,0,1,0,80,6,10,0,4,3,1,0,1,1,1,1,1,1,1
R_1dhKTiVqY34FhEv,Null,4,4,3,4,13,11,0,0,0,0,38,2,5,0,16,13,1,0,5,4,4,4,4,4,4
R_1dLGyLSzu3pQWBs,Null,3,4,3,5,9,7,0,0,1,0,33,6,10,0,12,9,1,0,3,3,3,3,4,3,2
R_1DLOySsmNlLwTgB,1,2,5,6,2,10,7,0,3,0,0,72,5,9,0,13,9,1,0,3,3,3,4,4,3,2
R_1dMKLsnbAhyvkDP,1,4,7,7,4,13,6,0,2,0,1,33,5,6,0,16,8,2,0,2,3,3,5,3,4,4
R_1DMQ1XhVjRcYwcd,Null,4,6,4,5,7,7,0,2,0,0,50,3,10,0,10,9,1,0,5,2,2,3,3,2,2
R_1DMSI5b6u0JSEab,Null,3,5,1,1,10,4,0,3,0,1,31,1,2,Null,13,6,2,6,2,2,2,4,3,3,3
R_1dN457Fh1oxuuFL,1,4,6,4,2,11,12,0,3,1,0,75,5,9,0,14,14,1,0,4,5,5,4,4,3,3
R_1DnDvYqi1rrO4rW,Null,2,3,Null,3,7,7,0,0,0,0,24,6,10,0,10,9,1,0,1,3,5,1,2,3,4
R_1dnS1n7yTdKgfnT,1,3,5,2,2,12,4,0,1,0,0,41,5,7,0,15,6,1,0,2,2,2,4,4,3,4
R_1dobe1PPlUCb56R,0,2,5,3,2,9,4,0,1,0,1,30,6,7,1,12,6,2,1,2,2,2,2,4,3,3
R_1DOK2B7wbFyWTcR,Null,4,6,5,2,5,7,0,3,0,0,75,6,10,0,8,9,1,0,3,3,3,2,2,2,2
R_1DOuwFsHo3QXBmS,0,1,1,1,4,17,9,0,1,0,1,33,2,4,1,20,11,2,1,3,4,4,5,5,5,5
R_1DOx2TdE8D6RpWg,1,3,4,1,5,15,7,1,3,0,1,42,3,4,2,18,9,2,2,3,4,2,5,5,4,4
